,Movie name,Release Year,Duration,Age Limit,Rating
117,Индиана Джонс и последний крестовый поход,1989,2h 7m,12+,8.2
118,Заводной апельсин,1971,2h 16m,18+,8.2
119,Метрополис,1927,2h 33m,12+,8.2
120,Большой куш,2000,1h 44m,16+,8.2
121,1917,2019,1h 59m,16+,8.2
122,Секреты Лос-Анджелеса,1997,2h 18m,16+,8.2
123,Бункер,2004,2h 36m,12+,8.2
124,Волк с Уолл-стрит,2013,3h,18+,8.2
125,Дангал,2016,2h 41m,Not Rated,8.3
126,Похитители велосипедов,1948,1h 29m,Not Rated,8.2
127,Оппенгеймер,2023,3h,16+,8.2
128,Шоу Трумана,1998,1h 43m,0+,8.2
129,Зеленая книга,2018,2h 10m,16+,8.2
130,Остров проклятых,2010,2h 18m,16+,8.2
131,Нюрнбергский процесс,1961,2h 59m,Approved,8.3
132,Бэтмен: Начало,2005,2h 20m,12+,8.2
133,Гамильтон,2020,2h 40m,16+,8.3
134,Таксист,1976,1h 54m,18+,8.2
135,На несколько долларов больше,1965,2h 12m,14+,8.2
136,Парк юрского периода,1993,2h 7m,6+,8.2
137,В джазе только девушки,1959,2h 1m,12+,8.2
138,Нефть,2007,2h 38m,16+,8.2
139,Малыш,1921,1h 8m,Passed,8.2
140,Отец,2020,1h 37m,16+,8.2
141,Всё о Еве,1950,2h 18m,Approved,8.2
142,Шестое чувство,1999,1h 47m,12+,8.2
143,Ран,1985,2h 40m,R,8.2
144,Казино,1995,2h 58m,18+,8.2
145,Старикам тут не место,2007,2h 2m,16+,8.2
146,Нечто,1982,1h 49m,18+,8.2
147,Топ Ган: Мэверик,2022,2h 10m,16+,8.2
148,Пленницы,2013,2h 33m,16+,8.2
149,Лабиринт Фавна,2006,1h 58m,14+,8.2
150,Убить Билла. Фильм 1,2003,1h 51m,16+,8.2
151,Непрощенный,1992,2h 10m,R,8.2
152,Игры разума,2001,2h 15m,12+,8.2
153,Сокровища Сьерра Мадре,1948,2h 6m,Approved,8.2
154,Ходячий замок,2004,1h 59m,12+,8.2
155,В поисках Немо,2003,1h 40m,0+,8.2
156,Телохранитель,1961,1h 50m,Not Rated,8.2
157,Возмутительный класс не прошёл экзамен,1975,1h 35m,,8.5
158,Клаус,2019,1h 36m,PG,8.2
159,Большой побег,1963,2h 52m,Approved,8.2
160,Человек-слон,1980,2h 4m,14+,8.2
161,Монти Пайтон и священный Грааль,1975,1h 31m,PG,8.2
162,Лучшие из молодых,2003,6h 14m,R,8.4
163,В случае убийства набирайте «М»,1954,1h 45m,16+,8.2
164,Истребитель демонов: Бесконечная крепость,2025,2h 35m,16+,8.4
165,Унесенные ветром,1939,3h 58m,G,8.2
166,Тайна в его глазах,2009,2h 9m,18+,8.2
167,Китайский квартал,1974,2h 10m,16+,8.1
168,"Карты, деньги, два ствола",1998,1h 47m,18+,8.1
169,«V» значит Вендетта,2005,2h 12m,16+,8.1
170,Головоломка,2015,1h 35m,6+,8.1
171,Расёмон,1950,1h 28m,Not Rated,8.1
172,"Поймай меня, если сможешь",2002,2h 21m,12+,8.1
173,"Три билборда на границе Эббинга, Миссури",2017,1h 55m,18+,8.1
174,На игле,1996,1h 33m,18+,8.1
175,Мост через реку Квай,1957,2h 41m,PG,8.1
176,Гарри Поттер и Дары смерти: Часть II,2011,2h 10m,12+,8.1
177,Общество мёртвых поэтов,1989,2h 8m,6+,8.1
178,Фарго,1996,1h 38m,16+,8.1
179,Дикий робот,2024,1h 42m,6+,8.2
180,Воин,2011,2h 20m,12+,8.1
181,Бешеный бык,1980,2h 9m,16+,8.1
182,Барри Линдон,1975,3h 5m,16+,8.1
183,Бен-Гур,1959,3h 32m,0+,8.1
184,Малышка на миллион,2004,2h 12m,16+,8.1
185,Безумный Макс: Дорога ярости,2015,2h,16+,8.1
186,Гран Торино,2008,1h 56m,16+,8.1
187,Мой сосед Тоторо,1988,1h 26m,0+,8.1
188,Дети небес,1997,1h 29m,PG,8.2
189,По соображениям совести,2016,2h 19m,18+,8.1
190,Отель «Гранд Будапешт»,2014,1h 39m,16+,8.1
191,12 лет рабства,2013,2h 14m,16+,8.1
192,Перед рассветом,1995,1h 41m,R,8.1
193,Рататуй,2007,1h 51m,0+,8.1
194,Бегущий по лезвию,1982,1h 57m,14+,8.1
195,Воспоминания об убийстве,2003,2h 11m,18+,8.1
196,Человек-паук: Нет пути домой,2021,2h 28m,12+,8.2
197,Как приручить дракона,2010,1h 38m,6+,8.1
198,Исчезнувшая,2014,2h 29m,18+,8.1
199,Корпорация монстров,2001,1h 32m,6+,8.1
200,Челюсти,1975,2h 4m,16+,8.1
201,Во имя отца,1993,2h 13m,16+,8.1
202,Ford против Ferrari,2019,2h 32m,16+,8.1
203,Дикие истории,2014,2h 2m,18+,8.1
204,Золотая лихорадка,1925,1h 35m,Approved,8.1
205,Шерлок младший,1924,45m,Passed,8.1
206,Мэри и Макс,2009,1h 32m,16+,8.1
207,Охотник на оленей,1978,3h 3m,16+,8.1
208,Плата за страх,1953,2h 36m,Not Rated,8.1
209,Паровоз Генерал,1926,1h 18m,Passed,8.1
210,Логан,2017,2h 17m,18+,8.1
211,Мистер Смит едет в Вашингтон,1939,2h 9m,12+,8.1
212,Рокки,1976,2h,16+,8.1
213,В порту,1954,1h 48m,Approved,8.1
214,Токийская повесть,1953,2h 17m,Not Rated,8.1
215,Земляничная поляна,1957,1h 32m,Not Rated,8.1
216,Пираты Карибского моря: Проклятие Чёрной жемчужины,2003,2h 23m,12+,8.1
217,В центре внимания,2015,2h 9m,18+,8.1
218,Ненависть,1995,1h 38m,18+,8.1
219,Третий человек,1949,1h 44m,12+,8.1
220,Да прольётся свет,2021,2h 44m,Approved,8.6
221,Махараджа,2024,2h 21m,,8.3
222,Терминатор,1984,1h 47m,16+,8.1
223,Звуки музыки,1965,2h 54m,0+,8.1
224,Форма голоса,2016,2h 10m,12+,8.2
225,Большой Лебовски,1998,1h 57m,18+,8.1
226,Лучшие годы нашей жизни,1946,2h 50m,Approved,8.1
227,Седьмая печать,1957,1h 36m,16+,8.1
228,Комната,2015,1h 58m,18+,8.1
229,Перед закатом,2004,1h 20m,16+,8.1
230,Отель «Руанда»,2004,2h 1m,PG-13,8.1
231,Взвод,1986,2h,16+,8.1
232,Человек-бензопила. Фильм: История Резе,2025,1h 40m,R,8.4
233,Суперсемейка,2004,1h 55m,12+,8.0
234,Изгоняющий дьявола,1973,2h 2m,18+,8.1
235,Хатико: самый верный друг,2009,1h 33m,0+,8.1
236,Гонка,2013,2h 3m,R,8.1
237,Волшебник страны Оз,1939,1h 42m,0+,8.1
238,Останься со мной,1986,1h 29m,R,8.1
239,Стальной гигант,1999,1h 26m,0+,8.1
240,Страсти Жанны д'Арк,1928,1h 50m,Passed,8.1
241,Мой отец и мой сын,2005,1h 52m,Not Rated,8.2
242,Битва за Алжир,1966,2h 1m,Not Rated,8.1
243,Служанка,2016,2h 25m,18+,8.1
244,Телесеть,1976,2h 1m,16+,8.1
245,Банды Вассейпура,2012,5h 21m,Not Rated,8.2
246,Быть или не быть,1942,1h 39m,Approved,8.1
247,Гроздья гнева,1940,2h 9m,(Banned),8.1
248,Видимость,2015,2h 43m,Not Rated,8.2
249,Истребитель демонов: Поезд «Бесконечный»,2020,1h 57m,16+,8.2
250,Марти Великолепный,"Releases Jan 15, 2026",2h 29m,18+,8.2
